,Nom,category,Annee
0,Howard Temin,physiologie ou médecine,1901
1,Howard Temin,physiologie ou médecine,1902
2,Howard Temin,physiologie ou médecine,1903
3,Howard Temin,physiologie ou médecine,1904
4,Howard Temin,physiologie ou médecine,1905
5,Howard Temin,physiologie ou médecine,1906
6,Howard Temin,physiologie ou médecine,1907
7,Howard Temin,physiologie ou médecine,1908
8,Howard Temin,physiologie ou médecine,1909
9,Howard Temin,physiologie ou médecine,1910
10,Howard Temin,physiologie ou médecine,1911
11,Howard Temin,physiologie ou médecine,1912
12,Howard Temin,physiologie ou médecine,1913
13,Howard Temin,physiologie ou médecine,1914
14,Howard Temin,physiologie ou médecine,1915
15,Howard Temin,physiologie ou médecine,1916
16,Howard Temin,physiologie ou médecine,1917
17,Howard Temin,physiologie ou médecine,1918
18,Howard Temin,physiologie ou médecine,1919
19,Howard Temin,physiologie ou médecine,1920
20,Howard Temin,physiologie ou médecine,1921
21,Howard Temin,physiologie ou médecine,1922
22,Howard Temin,physiologie ou médecine,1923
23,Howard Temin,physiologie ou médecine,1924
24,Howard Temin,physiologie ou médecine,1925
25,Howard Temin,physiologie ou médecine,1926
26,Howard Temin,physiologie ou médecine,1927
27,Howard Temin,physiologie ou médecine,1928
28,Howard Temin,physiologie ou médecine,1929
29,Howard Temin,physiologie ou médecine,1930
30,Howard Temin,physiologie ou médecine,1931
31,Howard Temin,physiologie ou médecine,1932
32,Howard Temin,physiologie ou médecine,1933
33,Howard Temin,physiologie ou médecine,1934
34,Howard Temin,physiologie ou médecine,1935
35,Howard Temin,physiologie ou médecine,1936
36,Howard Temin,physiologie ou médecine,1937
37,Howard Temin,physiologie ou médecine,1938
38,Howard Temin,physiologie ou médecine,1939
39,Howard Temin,physiologie ou médecine,1940
40,Howard Temin,physiologie ou médecine,1941
41,Howard Temin,physiologie ou médecine,1942
42,Howard Temin,physiologie ou médecine,1943
43,Howard Temin,physiologie ou médecine,1944
44,Howard Temin,physiologie ou médecine,1945
45,Howard Temin,physiologie ou médecine,1946
46,Howard Temin,physiologie ou médecine,1947
47,Howard Temin,physiologie ou médecine,1948
48,Howard Temin,physiologie ou médecine,1949
49,Howard Temin,physiologie ou médecine,1950
50,Howard Temin,physiologie ou médecine,1951
51,Howard Temin,physiologie ou médecine,1952
52,Howard Temin,physiologie ou médecine,1953
53,Howard Temin,physiologie ou médecine,1954
54,Howard Temin,physiologie ou médecine,1955
55,Howard Temin,physiologie ou médecine,1956
56,Howard Temin,physiologie ou médecine,1957
57,Howard Temin,physiologie ou médecine,1958
58,Howard Temin,physiologie ou médecine,1959
59,Howard Temin,physiologie ou médecine,1960
60,Howard Temin,physiologie ou médecine,1961
61,Howard Temin,physiologie ou médecine,1962
62,Howard Temin,physiologie ou médecine,1963
63,Howard Temin,physiologie ou médecine,1964
64,Howard Temin,physiologie ou médecine,1965
65,Howard Temin,physiologie ou médecine,1966
66,Howard Temin,physiologie ou médecine,1967
67,Howard Temin,physiologie ou médecine,1968
68,Howard Temin,physiologie ou médecine,1969
69,Howard Temin,physiologie ou médecine,1970
70,Howard Temin,physiologie ou médecine,1971
71,Howard Temin,physiologie ou médecine,1972
72,Howard Temin,physiologie ou médecine,1973
73,Howard Temin,physiologie ou médecine,1974
74,Howard Temin,physiologie ou médecine,1975
75,Howard Temin,physiologie ou médecine,1976
76,Howard Temin,physiologie ou médecine,1977
77,Howard Temin,physiologie ou médecine,1978
78,Howard Temin,physiologie ou médecine,1979
79,Howard Temin,physiologie ou médecine,1980
80,Howard Temin,physiologie ou médecine,1981
81,Howard Temin,physiologie ou médecine,1982
82,Howard Temin,physiologie ou médecine,1983
83,Howard Temin,physiologie ou médecine,1984
84,Howard Temin,physiologie ou médecine,1985
85,Howard Temin,physiologie ou médecine,1986
86,Howard Temin,physiologie ou médecine,1987
87,Howard Temin,physiologie ou médecine,1988
88,Howard Temin,physiologie ou médecine,1989
89,Howard Temin,physiologie ou médecine,1990
90,Howard Temin,physiologie ou médecine,1991
91,Howard Temin,physiologie ou médecine,1992
92,Howard Temin,physiologie ou médecine,1993
93,Howard Temin,physiologie ou médecine,1994
94,Howard Temin,physiologie ou médecine,1995
95,Howard Temin,physiologie ou médecine,1996
96,Howard Temin,physiologie ou médecine,1997
97,Howard Temin,physiologie ou médecine,1998
98,Howard Temin,physiologie ou médecine,1999
99,Howard Temin,physiologie ou médecine,2000
100,Howard Temin,physiologie ou médecine,2001
101,Howard Temin,physiologie ou médecine,2002
102,Howard Temin,physiologie ou médecine,2003
103,Howard Temin,physiologie ou médecine,2004
104,Howard Temin,physiologie ou médecine,2005
105,Howard Temin,physiologie ou médecine,2006
106,Howard Temin,physiologie ou médecine,2007
107,Howard Temin,physiologie ou médecine,2008
108,Howard Temin,physiologie ou médecine,2009
109,Howard Temin,physiologie ou médecine,2010
110,Howard Temin,physiologie ou médecine,2011
111,Howard Temin,physiologie ou médecine,2012
112,Howard Temin,physiologie ou médecine,2013
113,Howard Temin,physiologie ou médecine,2014
114,Howard Temin,physiologie ou médecine,2015
115,Howard Temin,physiologie ou médecine,2016
116,Howard Temin,physiologie ou médecine,2017
117,Howard Temin,physiologie ou médecine,2018
118,Howard Temin,physiologie ou médecine,2019
119,Howard Temin,physiologie ou médecine,2020
120,Howard Temin,physiologie ou médecine,2021
121,Howard Temin,physiologie ou médecine,2022
122,Gabriela Mistral,Littérature,1901
123,Gabriela Mistral,Littérature,1902
124,Gabriela Mistral,Littérature,1903
125,Gabriela Mistral,Littérature,1904
126,Gabriela Mistral,Littérature,1905
127,Gabriela Mistral,Littérature,1906
128,Gabriela Mistral,Littérature,1907
129,Gabriela Mistral,Littérature,1908
130,Gabriela Mistral,Littérature,1909
131,Gabriela Mistral,Littérature,1910
132,Gabriela Mistral,Littérature,1911
133,Gabriela Mistral,Littérature,1912
134,Gabriela Mistral,Littérature,1913
135,Gabriela Mistral,Littérature,1914
136,Gabriela Mistral,Littérature,1915
137,Gabriela Mistral,Littérature,1916
138,Gabriela Mistral,Littérature,1917
139,Gabriela Mistral,Littérature,1918
140,Gabriela Mistral,Littérature,1919
141,Gabriela Mistral,Littérature,1920
142,Gabriela Mistral,Littérature,1921
143,Gabriela Mistral,Littérature,1922
144,Gabriela Mistral,Littérature,1923
145,Gabriela Mistral,Littérature,1924
146,Gabriela Mistral,Littérature,1925
147,Gabriela Mistral,Littérature,1926
148,Gabriela Mistral,Littérature,1927
149,Gabriela Mistral,Littérature,1928
150,Gabriela Mistral,Littérature,1929
151,Gabriela Mistral,Littérature,1930
152,Gabriela Mistral,Littérature,1931
153,Gabriela Mistral,Littérature,1932
154,Gabriela Mistral,Littérature,1933
155,Gabriela Mistral,Littérature,1934
156,Gabriela Mistral,Littérature,1935
157,Gabriela Mistral,Littérature,1936
158,Gabriela Mistral,Littérature,1937
159,Gabriela Mistral,Littérature,1938
160,Gabriela Mistral,Littérature,1939
161,Gabriela Mistral,Littérature,1940
162,Gabriela Mistral,Littérature,1941
163,Gabriela Mistral,Littérature,1942
164,Gabriela Mistral,Littérature,1943
165,Gabriela Mistral,Littérature,1944
166,Gabriela Mistral,Littérature,1945
167,Gabriela Mistral,Littérature,1946
168,Gabriela Mistral,Littérature,1947
169,Gabriela Mistral,Littérature,1948
170,Gabriela Mistral,Littérature,1949
171,Gabriela Mistral,Littérature,1950
172,Gabriela Mistral,Littérature,1951
173,Gabriela Mistral,Littérature,1952
174,Gabriela Mistral,Littérature,1953
175,Gabriela Mistral,Littérature,1954
176,Gabriela Mistral,Littérature,1955
177,Gabriela Mistral,Littérature,1956
178,Gabriela Mistral,Littérature,1957
179,Gabriela Mistral,Littérature,1958
180,Gabriela Mistral,Littérature,1959
181,Gabriela Mistral,Littérature,1960
182,Gabriela Mistral,Littérature,1961
183,Gabriela Mistral,Littérature,1962
184,Gabriela Mistral,Littérature,1963
185,Gabriela Mistral,Littérature,1964
186,Gabriela Mistral,Littérature,1965
187,Gabriela Mistral,Littérature,1966
188,Gabriela Mistral,Littérature,1967
189,Gabriela Mistral,Littérature,1968
190,Gabriela Mistral,Littérature,1969
191,Gabriela Mistral,Littérature,1970
192,Gabriela Mistral,Littérature,1971
193,Gabriela Mistral,Littérature,1972
194,Gabriela Mistral,Littérature,1973
195,Gabriela Mistral,Littérature,1974
196,Gabriela Mistral,Littérature,1975
197,Gabriela Mistral,Littérature,1976
198,Gabriela Mistral,Littérature,1977
199,Gabriela Mistral,Littérature,1978
200,Gabriela Mistral,Littérature,1979
201,Gabriela Mistral,Littérature,1980
202,Gabriela Mistral,Littérature,1981
203,Gabriela Mistral,Littérature,1982
204,Gabriela Mistral,Littérature,1983
205,Gabriela Mistral,Littérature,1984
206,Gabriela Mistral,Littérature,1985
207,Gabriela Mistral,Littérature,1986
208,Gabriela Mistral,Littérature,1987
209,Gabriela Mistral,Littérature,1988
210,Gabriela Mistral,Littérature,1989
211,Gabriela Mistral,Littérature,1990
212,Gabriela Mistral,Littérature,1991
213,Gabriela Mistral,Littérature,1992
214,Gabriela Mistral,Littérature,1993
215,Gabriela Mistral,Littérature,1994
216,Gabriela Mistral,Littérature,1995
217,Gabriela Mistral,Littérature,1996
218,Gabriela Mistral,Littérature,1997
219,Gabriela Mistral,Littérature,1998
220,Gabriela Mistral,Littérature,1999
221,Gabriela Mistral,Littérature,2000
222,Gabriela Mistral,Littérature,2001
223,Gabriela Mistral,Littérature,2002
224,Gabriela Mistral,Littérature,2003
225,Gabriela Mistral,Littérature,2004
226,Gabriela Mistral,Littérature,2005
227,Gabriela Mistral,Littérature,2006
228,Gabriela Mistral,Littérature,2007
229,Gabriela Mistral,Littérature,2008
230,Gabriela Mistral,Littérature,2009
231,Gabriela Mistral,Littérature,2010
232,Gabriela Mistral,Littérature,2011
